,분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
827,교육/체험,서대문구,[2023년 파킨슨 환자를 위한 무용 교육 프로그램] 댄스 포 피디(하반기),2023-08-23~2023-11-01,"서울무용센터(서대문구 명지2길 14, 주차 가능)",서울문화재단,파킨슨 환자(보호자 동반 가능),,,,,https://www.sfac.or.kr/participation/sfac_program.do?eduGubunSel=&pageIndex=&eduMstSeq=32952&eduScheSeq=&mode=VIEW&mstStatus=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44e27f9114794e7aa7a4985ad01fd6d4&thumb=Y,2023-08-11,기관,00:00.0,00:00.0,,37.58305984,126.9278729,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142769&menuNo=200011
828,교육/체험,도봉구,[도봉문화재단] 하반기 정기강좌 프로그램 [연극으로 만드는 나의 이야기],2023-08-23~2023-11-01,마을극장 흰고무신 2층 공연장,도봉문화재단,도봉구 내 성인 및 시니어,,,,,https://www.dbfac.or.kr/front/supportManageReq/supportManageView.do?miv_pageNo=&miv_pageSize=6&total_cnt=&LISTOP=&mode=V&seq=929&searchkey=NAME&search_gb=&gubun=05&search_gb2=All&gubun2=&searchType=title&searchtxt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21c2890e056d436c9a9cb5e58db7da94&thumb=Y,2023-08-04,기관,00:00.0,00:00.0,기타,37.66812722,127.0315428,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142691&menuNo=200011
847,교육/체험,관악구,[기술 입은 문화예술교육] 관악!아트랩 203 AI와 함께하는 별별무브 시즌3,2023-08-21~2023-11-01,싱글벙글교육센터(관악구 남부순환로234길 73),관악문화재단,"아동(초등학생 5?6학년), 청소년(중?고등학생 재학생 및 해당 연령대 누구나),  청년(만 19세이상~ 39세이하 1983.7.18일 기준)",,,,,https://www.gfac.or.kr/html/notify/notify1_view.html?pk=1689561799722-1d90bcc5-b884-4b48-ac1f-596c695b9253,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a4cde44546c41fd8f326d303cb10afb&thumb=Y,2023-07-20,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.47609625,126.9562881,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142489&menuNo=200011
874,전시/미술,종로구,[황학정국궁전시관] 활의 나라 : 다시 태어난 근대 활쏘기의 시작,2023-08-18~2024-12-31,황학정국궁전시관 (서울 종로구 사직로9길 15-32),종로문화재단,전체관람,,,,,https://www.jfac.or.kr/site/main/program/perf_all_list_view?pgIdx=2093,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0c7671028a0c4b3e998b448b0d4a09ac&thumb=Y,2023-08-21,기관,00:00.0,00:00.0,,37.57791836,126.9639458,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142854&menuNo=200009
927,교육/체험,동대문구,[2023년 쫌쫌따리 문화모아] 동그란 자유: 세상을 거꾸로 볼 자you,2023-08-11~2023-11-03,카페프로젝트이응,동대문문화재단,서울시 청년,,,,,https://www.instagram.com/p/CvMnhEuJGJL/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=850b6c78e3df4ff18c3c92b3718012cf&thumb=Y,2023-08-06,시민,00:00.0,00:00.0,기타,37.57531065,127.0467486,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142701&menuNo=200011
948,전시/미술,성동구,[서울디자인재단] 플라스틱 탐험대 : SUP 습격!,2023-08-09~2023-12-31,서울새활용플라자,서울디자인재단,누구나,무료,,,,http://www.seoulup.or.kr/detail.do?NTT_ID=notice&BBS_ID=7072,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a194901c636a421ea3223b8ff37f7287&thumb=Y,2023-08-24,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.55868506,127.0578512,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142970&menuNo=200009
949,전시/미술,종로구,[2023 운현궁 하우스뮤지엄] 제9회 설경규방공예연구회 정기전시회,2023-08-09~2023-12-20,운현궁 기획전시실,운현궁,관람객 자유관람(전체관람가),,,,,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?sno=0&group=basic&code=B35&category=&&abmode=view&no=1187&bsort=&bfsort=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=16f8f4f2eb134869b60d98b8e1d7b4a9&thumb=Y,2023-07-31,기관,00:00.0,00:00.0,,37.576125,126.98705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142588&menuNo=200009
956,전시/미술,종로구,[서울역사박물관] 대전엑스포’93 30주년 기념 특별공동기획전 [대전엑스포’93: 과학 신화가 현실로],2023-08-08~2023-11-05,서울역사박물관 로비전시실,서울역사박물관,누구나,,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1004&sso=ok,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8f7a6abd051f46cab49c8b5e6c0dbce8&thumb=Y,2023-08-07,기관,00:00.0,00:00.0,,37.5701434,126.9704375,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142703&menuNo=200009
989,전시/미술,은평구,"삼국의 여인들, 새로운 세계를 열다",2023-08-04~2023-10-29,은평역사한옥박물관 기획전시실,은평역사한옥박물관,누구나,,,,,https://museum.ep.go.kr/exhibit/special/special1.asp,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb5e64c6d3574d07964ead9119c814dc&thumb=Y,2023-08-02,기관,00:00.0,00:00.0,,37.64040095,126.9380555,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142645&menuNo=200009
1000,교육/체험,종로구,[돈의문박물관마을] 2023 하반기 한옥예술체험 예술가의 시간,2023-08-03~2023-12-31,돈의문박물관마을 일대,돈의문박물관마을,홈페이지 참고,홈페이지 참고,,,,https://dmvillage.info/news/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=15890481&t=board,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa4901b01b7145ac9595352450d7a410&thumb=Y,2023-07-31,기관,00:00.0,00:00.0,기타,37.56882395,126.9685231,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142600&menuNo=200011
1001,전시/미술,노원구,서울시립 북서울미술관 개관 10주년 기념전 [SeMA 앤솔러지: 열 개의 주문],2023-08-03~2023-10-25,"서울시립 북서울미술관 1층 전시실1, 2층 전시실2",서울시립미술관,누구나,,"구기정, 권혜원, 기슬기, 김상진, 노은주, 박경률, 박성준, 박이소, 전병구, 최재원",,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1202246,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eeaa938d30a74795ad08155aa7ac0f3f&thumb=Y,2023-07-25,기관,00:00.0,00:00.0,,37.64066045,127.0668656,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142529&menuNo=200009
1027,전시/미술,종로구,[아뜰리에 광화] 2023 광장으로의 초대 이중섭,2023-08-01~2023-12-13,세종문화회관 외벽 미디어갤러리,서울시청,전체관람가,,,,,https://news.seoul.go.kr/culture/archives/520347,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1ee52bf5d94647bc9f677aa64092c1ed&thumb=Y,2023-08-03,기관,00:00.0,00:00.0,기타,37.57184786,126.9761683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142660&menuNo=200009
1028,교육/체험,관악구,[관악문화재단] 2023 어린이 체험?교육 활동 제2기 리틀강감찬,2023-08-01~2023-11-30,관악구 및 서울권,관악문화재단,관악구에 소재한 초등학교 6학년 학생 모두 신청이 가능해요!,,,,,https://www.gfac.or.kr/html/notify/notify1_view.html?pk=1689052830753-5f222f95-b228-4dba-87b5-92140ccdda79,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=46e89862f2f943c593cdc8214d29c0af&thumb=Y,2023-07-20,기관,00:00.0,00:00.0,기타,37.46759765,126.9448709,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142488&menuNo=200011
1058,교육/체험,금천구,[2023생애주기별 문화예술교육] 실천력 프로젝트 추가모집(~7.16),2023-07-29~2023-11-24,"만천명월예술인家 지하 1층, 3층, 4층",금천문화재단,"아동,청소년,중장년,전생애(가족)",,,,,https://gcfac.or.kr/board/noticeDetail?notice_gb=&board_seq=8168&gcfac_menu_cd=U0139&currRow=1&scType=all&srch_input=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bf129bdb1b8b46bfbc8ede82e3e7f6ba&thumb=Y,2023-06-30,기관,00:00.0,00:00.0,,37.45069768,126.9074454,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142215&menuNo=200011
1083,전시/미술,용산구,"2023년 용산도시기억전시관 기획전시 [변화의 물결 속 용산, 1960~70년대 용산을 바라보다]",2023-07-27~2024-07-26,"용산구 한강로 서빙고로17 용산센트럴파크 해링턴 스퀘어 공공시설동 1,2층 용산도시기억전시관",서울시청,누구나,,,,,http://yongsanpark.community/bbs/board.php?bo_table=notice&wr_id=94,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9adc9ac6aa6345069fb674cc94b89499&thumb=Y,2023-07-26,시민,00:00.0,00:00.0,기타,37.52686633,126.9668797,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142544&menuNo=200009
1093,교육/체험,도봉구,[도봉기적의도서관] 구름아래 예술놀이 제작소 '그림책 재담꾼! 도봉쑨',2023-07-26~2023-11-29,도봉기적의도서관 열두대문극장,도봉문화재단,중장년(45세 이상 우선접수),,,,,https://www.dbfac.or.kr/front/supportManageReq/supportManageView.do?miv_pageNo=&miv_pageSize=6&total_cnt=&LISTOP=&mode=V&seq=910&searchkey=NAME&search_gb=&gubun=05&search_gb2=All&gubun2=&searchType=title&searchtxt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=75c75343532e4d67b5854e7c8608d363&thumb=Y,2023-07-14,기관,00:00.0,00:00.0,기타,37.6812003,127.0502366,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142422&menuNo=200011
1112,교육/체험,송파구,기억프로젝트 [내가 만드는 백제],2023-07-25~2023-12-15,한성백제박물관,한성백제박물관,초기 치매 어르신,,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=ED&mmode=content&mpid=SBM0402000000&pid=21489&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c2fe56d3f9c64cdb98e2ec09b1094e53&thumb=Y,2023-07-07,시민,00:00.0,00:00.0,기타,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142339&menuNo=200011
1113,전시/미술,강북구,[유휴공간프로젝트 Ⅱ] 진화의 비밀 8 - 플라잉맨 in 무중력,2023-07-25~2023-12-04,꿈의숲아트센터 로비 B1층,세종문화회관,전연령 관람 가능  ,,,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34364&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e8faf3588d641c88223f99d924d632f&thumb=Y,2023-07-25,기관,00:00.0,00:00.0,기타,37.62025446,127.0443247,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142531&menuNo=200009
1123,교육/체험,도봉구,[도봉문화원] 원!투!쓰리!클래스 연극꿈틀 & 사진꿈틀,2023-07-24~2023-11-04,"도봉문화원, 창포원",도봉문화원,"사진꿈틀-중고등학생, 사진꿈틀-도봉구민 누구나",,,,,http://www.dobong.or.kr/main/main.php?categoryid=06&menuid=01&groupid=00,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0aed64f95eea4b9da71ab61034ff5e1f&thumb=Y,2023-07-18,기관,00:00.0,00:00.0,기타,37.65419928,127.0388705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142459&menuNo=200011
1132,전시/미술,중구,[서울디자인재단] 알폰스 무하 이모션 인 서울,2023-07-22~2023-10-30,DDP 뮤지엄 지하2층 전시2관,서울디자인재단,누구나,"성인 20,000원  청소년 15,000원  어린이 13,000원",,,,http://ddp.or.kr/index.html?menuno=240&siteno=2&bbsno=477&boardno=15&bbstopno=477&act=view&subno=0,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=334ffbba86b64d16a0c1121e2688d5c0&thumb=Y,2023-06-19,기관,00:00.0,00:00.0,,37.56681313,127.0096257,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142065&menuNo=200009
1148,전시/미술,종로구,"우리가 만나던 그곳, 종로서적",2023-07-21~2024-03-17,서울역사박물관 공평도시유적전시관 기획전시실,서울역사박물관,시민 누구나,,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1002&q_exhSttus=next&sso=ok,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ee319f9117c34a58a4cce878025ac793&thumb=Y,2023-07-24,기관,00:00.0,00:00.0,기타,37.5701434,126.9704375,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142503&menuNo=200009
1163,교육/체험,중랑구,[중랑문화재단] 옹기테마체험관 옹기테마아카데미,2023-07-20~2023-10-31,옹기테마공원 공예체험장,중랑문화재단,프로그램별 상이,프로그램별 상이,,,,https://jnfac.or.kr/exhibition/program_list.html?gubun=4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9842aa7cc92f40969e0ee03eba9f4a05&thumb=Y,2023-08-24,기관,00:00.0,00:00.0,기타,37.61265372,127.0885194,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142953&menuNo=200011
1164,뮤지컬/오페라,중구,뮤지컬 [멤피스],2023-07-20~2023-10-22,충무아트센터 대극장,중구문화재단,14세 이상 관람가(2010년 포함 이전 출생자),"VIP석 160,000원 / R석 130,000원 / S석 100,000원 / A석 70,000원",,,,https://www.caci.or.kr/caci/performance/view.do?menuNo=200006&pblprfrId=1488#,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4823d06edde242e2be030778f32c2596&thumb=Y,2023-05-18,기관,00:00.0,00:00.0,기타,37.56594097,127.0147909,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141768&menuNo=200008
1191,교육/체험,종로구,[서울문화재단] 2023년 PLAY-UP 아카데미,2023-07-17~2023-12-09,서울연극센터 (서울시 종로구 대명길 3),서울문화재단,과정별 접수대상 상이,,,,,https://www.sfac.or.kr/artspace/artspace/play_notice.do?cbIdx=986&bcIdx=134400&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1824002067204371a3ab92013c600866&thumb=Y,2023-06-22,기관,00:00.0,00:00.0,기타,37.5833444,127.0013025,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142108&menuNo=200011
1197,교육/체험,성북구,문화예술교육 프로그램 [학교폭력 스탑 프로젝트: 연극 프로불편러],2023-07-16~2023-11-26,4호선 성신여대입구역 인근 연습실 (추후 공지),성북구청,"자신의 야야기를 하고싶은 ,학교폭력에 대해 소통하고 싶은, 불편함을 멈추고 싶은, 연극을 경험하고 싶은 14~19세 청소년 누구나!   ",,,,,https://forms.gle/9Z4P62TTqiK9jX3q7 ,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cae94d740c4b440e9518854bb58f2ae1&thumb=Y,2023-07-10,시민,00:00.0,00:00.0,어린이/청소년 문화행사,37.5831603,127.0034413,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142367&menuNo=200011
1199,교육/체험,성북구,문화예술교육 프로그램 [청년의 신세계 : My Home History],2023-07-15~2023-11-26,성신여대입구역 인근 연습실 (추후 공지),성북구청,"자신의 이야기를 하고 싶은, 집에 관심 있는, 부동산에 관심 있는, 연극을 경험하고 싶은 20~30대 청년 누구나",,,,,https://forms.gle/huAeFG4dULsmuFVJ8,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a4739af80edc46fca038dbda7f3f9ff3&thumb=Y,2023-07-10,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5831603,127.0034413,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142366&menuNo=200011
1200,무용,,제3회 올댓댄스 온라인페스티벌,2023-07-15~2023-10-31,아츠인탱크 홈페이지 / 문화비축기지,마포구청,누구나,,,"다양한 무용콘텐츠를 한 곳에서...온라인무용플랫폼 《아츠인탱크》 댄스필름, 공연영상, 다큐멘터리, AR, 수어해설, 리뷰영상 등 총 80여 편",,https://artsintank.com/dance_film,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39b9b12eaa16471ba89293c7bc178f63&thumb=Y,2023-07-04,시민,00:00.0,00:00.0,,37.57136484,126.894251,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142251&menuNo=200008
1344,콘서트,용산구,[노들섬] 2023 서울거리공연 구석구석라이브,2023-07-01~2023-11-30,노들섬 1F 노들서가,노들섬,문화예술에 관심 있는 누구나,무료,,,,https://seoulbusking.com,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=86cb5016f5f248199eed028e124ec5b2&thumb=Y,2023-09-01,기관,00:00.0,00:00.0,기타,37.51766383,126.9580365,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143105&menuNo=200008
1345,교육/체험,강북구,[한국공예?디자인문화진흥원] 2023 전통생활문화교육 ,2023-07-01~2023-11-30,교육기관방문,기타,"유아, 초등학생",전액무상,,전통문화 속 교육적 가치를 활용하여 미래세대를 대상으로 전통문화의 확산과 인성 발달을 위한 교육을 진행합니다. ,,https://2023sungshin.notion.site/2023-c4be495156464d45a289fb9be8801546?pvs=4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=350cb4c157894bf2ad3c71d1b60cc2e5&thumb=Y,2023-06-30,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.57660036,126.9851275,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142201&menuNo=200011
1392,교육/체험,송파구,[도서관에서 만나는 인문학열전] 당신에게 권하는 일상의 인문학,2023-06-28~2023-11-29,송파위례도서관 5층 프로그램실,송파문화재단,성인,,,,,https://www.splib.or.kr/intro/menu/10052/program/30014/eventList.do?currentPageNo=2&eventIdx=0&educationTypeCd=&eventStatusCd=&eventTargetCd=&manageCd=ALL,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=50f528801b944e899874b77368fc1a7f&thumb=Y,2023-06-09,기관,00:00.0,00:00.0,문화가 있는 날,37.48116566,127.1439378,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141979&menuNo=200011
1418,전시/미술,송파구,[한성백제박물관] 제4회 백제그림그리기대회 전시,2023-06-26~2023-12-31,한성백제박물관,한성백제박물관,시민 누구나,,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=EV&mmode=content&mpid=SBM0403000000&pid=21377&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f9f0a76d23c84fc3be4bbba2b00007f3&thumb=Y,2023-05-11,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141673&menuNo=200009
1448,교육/체험,송파구,"[독서 아카데미]  예술, 삶을 치유하다 - part1. 미술로 마음챙김",2023-06-22~2023-10-19,송파위례도서관 5층 프로그램실,송파문화재단,성인,,,,,https://www.splib.or.kr/intro/menu/10052/program/30014/eventDetail.do?currentPageNo=1&eventIdx=549250&educationTypeCd=&eventStatusCd=&eventTargetCd=&manageCd=ALL,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=110309b5906c4b7ebf2df96d87225d92&thumb=Y,2023-06-09,기관,00:00.0,00:00.0,기타,37.48116566,127.1439378,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141978&menuNo=200011
1520,전시/미술,성북구,[성북선잠박물관] 소장품 특별전,2023-06-14~2023-12-31,성북선잠박물관  (성북구 성북로 96),성북구청,누구나,"- 성인 1,000원 - 청소년 500원 - 어린이 300원 ※ 유아, 만65세 이상, 국가유공자 등 관람료 면제 대상자 무료 ",,"성북선잠박물관 수집 소장품 중 비단과 한복,  전통 장신구, 양잠과 직조 사진 자료 전시",,http://museum.sb.go.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5225178559824191b34471831d20a4ce&thumb=Y,2023-06-09,기관,00:00.0,00:00.0,,37.59321623,126.9982393,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141969&menuNo=200009
1554,전시/미술,마포구,"[2023년 6월 민주화 운동 특별전시] 마음을 움직이는 말, 선전물",2023-06-09~2023-11-30,이한열기념관 3층 기획전시실 ,기타,누구나,무료,,6월 민주화 운동 특별 전시 ,,http://www.leememorial.or.kr/?tpf=memorial/plan_view&board_code=18&code=6679,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=621b5a80d56648bc990e4bbd1ff81266&thumb=Y,2023-06-05,기관,00:00.0,00:00.0,기타,37.55504357,126.9338654,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141911&menuNo=200009
1561,교육/체험,중구,[권진규의 영원한 집] 전시 연계 특별 도슨트 및 특강,2023-06-08~2023-12-14,서울시립 남서울미술관 1층 전시실,서울시립미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1187374,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5863cf0ab5654498983eb8092647e468&thumb=Y,2023-06-13,기관,00:00.0,00:00.0,여성 문화행사,37.47605354,126.9794659,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141999&menuNo=200011
1638,전시/미술,관악구,권진규의 영원한 집,2023-06-01~2024-12-31,"서울시립 남서울미술관 1층 전시실, 자료실",서울시립미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1174182,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7926814142384dc0a31f893f7482581f&thumb=Y,2023-05-30,기관,00:00.0,00:00.0,,37.47605354,126.9794659,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141856&menuNo=200009
1639,전시/미술,노원구,[쉿!],2023-06-01~2023-10-25,"서울시립 북서울미술관 프로젝트갤러리1, 2",서울시립북서울미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1179415,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=171928ab33154e548ff38f10f1a1722e&thumb=Y,2023-05-26,기관,00:00.0,00:00.0,,37.64066045,127.0668656,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141832&menuNo=200009
1659,교육/체험,도봉구,2023 세계문화특강 인문학과 함께 떠나는 독일여행,2023-05-31~2023-10-25,도봉구민회관 3층 소공연장,도봉문화원,누구나,,,,,http://www.dobong.or.kr/main/main.php?categoryid=06&menuid=01&groupid=00&board=view&no=2430,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=07e09498cbcf45628e946e49d3a24279&thumb=Y,2023-05-26,기관,00:00.0,00:00.0,,37.65419928,127.0388705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141836&menuNo=200011
1692,전시/미술,종로구,[2023 시민공모전] 기억 전당포 : 1990 서울 나들이 展,2023-05-27~2023-12-31,"돈의문박물관마을 서대문여관 1층, 2층",돈의문박물관마을,누구나,,,,,https://dmvillage.info/280,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c79cfd2d0f2240cf84d657a20bbfe5b5&thumb=Y,2023-06-05,기관,00:00.0,00:00.0,기타,37.56882395,126.9685231,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141907&menuNo=200009
1702,전시/미술,종로구,박노수미술관 개관 10주년 기념전시 [화필인생-박노수의 모던 타임즈],2023-05-26~2024-03-31,박노수미술관 (종로구 옥인1길 24),종로문화재단,전체 관람,,,,,https://www.jfac.or.kr/site/main/program/perf_all_list_view?pgIdx=2046,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a4cca6bd67d4806b0d05640edaa34a2&thumb=Y,2023-05-25,기관,00:00.0,00:00.0,기타,37.5813192,126.9668185,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141822&menuNo=200009
1715,전시/미술,중구,80 도시현실,2023-05-25~2024-12-31,서울시립미술관 서소문본관 2층 가나아트컬렉션전시실,서울시립미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/exhibition/detail?exNo=1168593,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=87f1d172534f4ab39c0f26a9a1621a4a&thumb=Y,2023-05-17,기관,00:00.0,00:00.0,기타,37.56410607,126.9736993,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141742&menuNo=200009
1793,기타,동작구,2023 동작 거점형 거리공연 활성화 사업,2023-05-17~2023-10-25,"동작구 관내 야외공간(사당 만남의 공원, 대방 청소년문화의 집, 노량진수상물 도매시장 2층 야외공간, 이수역 12번 출구 공연장 등)",동작문화재단,전 구민 대상,무료,,"동작구 관내 거리공연문화 정착, 구민의 생활권 내 공연의 일상화 실현",,https://blog.naver.com/idfac/223091408053,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9755ce4e01874642b8208564130fdd5d&thumb=Y,2023-05-10,기관,00:00.0,00:00.0,기타,37.50749087,126.9598854,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141647&menuNo=200013
1807,교육/체험,종로구,[서울역사박물관] 청소년 박물관 톡(Talk),2023-05-15~2023-12-08,서울역사박물관,서울역사박물관,청소년(중?고등학교 학급 단체),,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1005&categoryVal=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e4300962dd614c3482f33d2d60a8a71f&thumb=Y,2023-08-02,기관,00:00.0,00:00.0,,37.5701434,126.9704375,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142641&menuNo=200011
1808,교육/체험,종로구,청소년 박물관 톡 (Talk),2023-05-15~2023-12-08,서울역사박물관,서울역사박물관,"청소년 단체 (학급, 동아리 등)",,,,,https://museum.seoul.go.kr/www/board/NR_boardList.do?bbsCd=1005&categoryVal=1003&sso=ok,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ac98315d66b4490f923d84a042519595&thumb=Y,2023-07-07,기관,00:00.0,00:00.0,,37.5701434,126.9704375,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142316&menuNo=200011
